flag_URL,host_country,event,year,artist_country,artist,song,rank,total_points
https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Ireland,Dublin ,1981,Germany,Lena Valaitis,Johnny Blue,2,132
https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Netherlands,The Hague ,1980,Germany,Katja Ebstein,Theater,2,128
https://upload.wikimedia.org/wikipedia/en/a/ae/Flag_of_the_United_Kingdom.svg,United Kingdom,Edinburgh ,1972,Germany,Mary Roos,Nur Die Liebe Läßt Uns Leben,3,107
https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Ireland,Dublin ,1971,Germany,Katja Ebstein,Diese Welt,3,100
https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,Netherlands,Amsterdam ,1970,Germany,Katja Ebstein,Wunder Gibt Es Immer Wieder,3,12
https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Switzerland,Lugano ,1956,Germany,Freddy Quinn,So Geht Das Jede Nacht,2,NA
https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg,Switzerland,Lugano ,1956,Germany,Walter Andreas Schwarz,Im Wartesaal Zum Großen Glück,2,NA
https://upload.wikimedia.org/wikipedia/commons/f/ff/Flag_of_Serbia.svg,Serbia,Belgrade ,2008,Greece,Kalomira,Secret Combination,3,218
https://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Ukraine.svg,Ukraine,Kyiv ,2005,Greece,Helena Paparizou,My Number One,1,230
https://upload.wikimedia.org/wikipedia/commons/b/b4/Flag_of_Turkey.svg,Turkey,Istanbul ,2004,Greece,Sakis Rouvas,Shake It,3,252
https://upload.wikimedia.org/wikipedia/commons/9/9c/Flag_of_Denmark.svg,Denmark,Copenhagen ,2001,Greece,Antique,Die For You,3,147
https://upload.wikimedia.org/wikipedia/en/f/f3/Flag_of_Russia.svg,Russia,Moscow ,2009,Iceland,Yohanna,Is It True?,2,218
https://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg,Israel,Jerusalem ,1999,Iceland,Selma Björnsdóttir,All Out Of Luck,2,146
https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Ireland,Dublin ,1997,Ireland,Marc Roberts,Mysterious Woman,2,157
https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg,Norway,Oslo ,1996,Ireland,Eimear Quinn,The Voice,1,162
https://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg,Ireland,Dublin ,1994,Ireland,Paul Harrington and Charlie McGettigan,Rock 'n' Roll Kids,1,226
